,team_name,opponent_name,opponent_pts,team_box_id,game_id,team_id,is_home,win,pts,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pace,poss,season_year,game_date,minutes_played,neutral_site,opponent_team_id,game_number,days_rest,is_back_to_back,total_wins,total_losses,win_percentage,wins_last_5,wins_last_10,win_percentage_last_5,win_percentage_last_10,diff_pts,diff_ast,diff_tov,diff_blk,diff_blka,diff_fgm,diff_fga,diff_ftm,diff_fta,diff_pf,diff_pfd,diff_stl,diff_oreb,diff_dreb,diff_fg3m,diff_fg3a,diff_days_rest,diff_win_percentage,diff_wins_last_5,diff_wins_last_10,diff_win_percentage_last_5,diff_win_percentage_last_10,pts_rolling_mean_prev_5,ast_rolling_mean_prev_5,tov_rolling_mean_prev_5,blk_rolling_mean_prev_5,blka_rolling_mean_prev_5,fgm_rolling_mean_prev_5,fga_rolling_mean_prev_5,ftm_rolling_mean_prev_5,fta_rolling_mean_prev_5,pf_rolling_mean_prev_5,pfd_rolling_mean_prev_5,stl_rolling_mean_prev_5,reb_rolling_mean_prev_5,oreb_rolling_mean_prev_5,dreb_rolling_mean_prev_5,fg3m_rolling_mean_prev_5,fg3a_rolling_mean_prev_5,pace_rolling_mean_prev_5,diff_pts_rolling_mean_prev_5,diff_ast_rolling_mean_prev_5,diff_tov_rolling_mean_prev_5,diff_blk_rolling_mean_prev_5,diff_blka_rolling_mean_prev_5,diff_fgm_rolling_mean_prev_5,diff_fga_rolling_mean_prev_5,diff_ftm_rolling_mean_prev_5,diff_fta_rolling_mean_prev_5,diff_pf_rolling_mean_prev_5,diff_pfd_rolling_mean_prev_5,diff_stl_rolling_mean_prev_5,diff_oreb_rolling_mean_prev_5,diff_dreb_rolling_mean_prev_5,diff_fg3m_rolling_mean_prev_5,diff_fg3a_rolling_mean_prev_5,diff_days_rest_rolling_mean_prev_5,diff_win_percentage_rolling_mean_prev_5,diff_wins_last_5_rolling_mean_prev_5,diff_wins_last_10_rolling_mean_prev_5,diff_win_percentage_last_5_rolling_mean_prev_5,diff_win_percentage_last_10_rolling_mean_prev_5,pts_average,ast_average,tov_average,blk_average,blka_average,fgm_average,fga_average,ftm_average,fta_average,pf_average,pfd_average,stl_average,reb_average,oreb_average,dreb_average,fg3m_average,fg3a_average,pace_average,diff_pts_average,diff_ast_average,diff_tov_average,diff_blk_average,diff_blka_average,diff_fgm_average,diff_fga_average,diff_ftm_average,diff_fta_average,diff_pf_average,diff_pfd_average,diff_stl_average,diff_oreb_average,diff_dreb_average,diff_fg3m_average,diff_fg3a_average,diff_days_rest_average,diff_win_percentage_average,diff_wins_last_5_average,diff_wins_last_10_average,diff_win_percentage_last_5_average,diff_win_percentage_last_10_average
0,76ers,Wizards,107,2140,22000013,1610612755,True,True,113,41,87,0.471,8,28,0.286,23,30,0.767,10,37,47,22,18,11,8,4,25,26,107.5,108.0,2020-21,2020-12-23,48,0,1610612764,1.0,0.0,0,1,0,1.0,0,0,0.0,0.0,6.0,-6.0,-2.0,4.0,-4.0,2.0,2.0,7.0,7.0,-1.0,1.0,4.0,5.0,2.0,-5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,22.0,18.0,8.0,4.0,41.0,87.0,23.0,30.0,25.0,26.0,11.0,47.0,10.0,37.0,8.0,28.0,107.5,6.0,-6.0,-2.0,4.0,-4.0,2.0,2.0,7.0,7.0,-1.0,1.0,4.0,5.0,2.0,-5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,76ers,Knicks,89,2103,22000025,1610612755,False,True,109,41,88,0.466,11,31,0.355,16,22,0.727,12,35,47,20,12,9,6,4,19,23,94.5,95.0,2020-21,2020-12-26,48,0,1610612752,2.0,3.0,0,2,0,1.0,1,1,0.2,0.1,20.0,1.0,-4.0,2.0,-2.0,9.0,5.0,-1.0,-1.0,-4.0,4.0,3.0,-1.0,5.0,3.0,2.0,0.0,1.0,1.0,1.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,21.0,15.0,7.0,4.0,41.0,87.5,19.5,26.0,22.0,24.5,10.0,47.0,11.0,36.0,9.5,29.5,101.0,13.0,-2.5,-3.0,3.0,-3.0,5.5,3.5,3.0,3.0,-2.5,2.5,3.5,2.0,3.5,-1.0,1.5,0.0,1.0,0.5,0.5,0.1,0.05
2,76ers,Cavaliers,118,2100,22000035,1610612755,False,False,94,33,79,0.418,12,37,0.324,16,22,0.727,8,31,39,24,22,9,5,6,19,22,100.5,100.0,2020-21,2020-12-27,48,0,1610612739,3.0,1.0,1,2,1,0.6666666666666666,2,2,0.4,0.2,-24.0,-7.0,6.0,-1.0,1.0,-15.0,-12.0,3.0,6.0,-3.0,3.0,-4.0,-3.0,-3.0,3.0,14.0,0.0,-0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.33333333333333,22.0,17.333333333333332,6.333333333333333,4.666666666666667,38.333333333333336,84.66666666666667,18.333333333333332,24.666666666666668,21.0,23.666666666666668,9.666666666666666,44.333333333333336,10.0,34.333333333333336,10.333333333333334,32.0,100.83333333333333,0.6666666666666666,-4.0,0.0,1.6666666666666667,-1.6666666666666667,-1.3333333333333333,-1.6666666666666667,3.0,4.0,-2.6666666666666665,2.6666666666666665,1.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,5.666666666666667,0.0,0.5555555555555555,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.03333333333333333
3,76ers,Raptors,93,2061,22000049,1610612755,True,True,100,32,84,0.381,8,31,0.258,28,33,0.848,9,45,54,21,20,10,10,7,15,28,105.0,106.0,2020-21,2020-12-29,48,0,1610612761,4.0,2.0,0,3,1,0.75,2,2,0.4,0.2,7.0,0.0,0.0,3.0,-3.0,0.0,-6.0,16.0,19.0,-13.0,13.0,-2.0,-1.0,8.0,-9.0,-14.0,-1.0,0.75,2.0,2.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,21.75,18.0,7.25,5.25,36.75,84.5,20.75,26.75,19.5,24.75,9.75,46.75,9.75,37.0,9.75,31.75,101.875,2.25,-3.0,0.0,2.0,-2.0,-1.0,-2.75,6.25,7.75,-5.25,5.25,0.25,0.0,3.0,-2.0,0.75,-0.25,0.6041666666666666,0.75,0.75,0.15000000000000002,0.07500000000000001
4,76ers,Magic,92,2028,22000064,1610612755,False,True,116,44,91,0.484,15,33,0.455,13,15,0.867,7,47,54,23,15,7,10,5,23,15,103.0,103.0,2020-21,2020-12-31,48,0,1610612753,5.0,2.0,0,4,1,0.8,3,3,0.6,0.3,24.0,6.0,4.0,5.0,-5.0,11.0,-4.0,-6.0,-6.0,8.0,-8.0,5.0,-3.0,9.0,8.0,5.0,0.0,0.0,-1.0,-1.0,-0.20000000000000007,-0.10000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.4,22.0,17.4,7.8,5.2,38.2,85.8,19.2,24.4,20.2,22.8,9.2,48.2,9.2,39.0,10.8,32.0,102.1,6.6,-1.2,0.8,2.6,-2.6,1.4,-3.0,3.8,5.0,-2.6,2.6,1.2,-0.6,4.2,0.0,1.6,-0.2,0.4833333333333333,0.4,0.4,0.07999999999999999,0.039999999999999994
5,76ers,Hornets,112,1995,22000082,1610612755,True,True,127,47,79,0.595,16,35,0.457,17,24,0.708,7,38,45,35,22,10,7,5,17,18,103.5,103.0,2020-21,2021-01-02,48,0,1610612766,6.0,2.0,0,5,1,0.8333333333333334,4,4,0.8,0.4,15.0,1.0,10.0,2.0,-2.0,9.0,-13.0,-6.0,-2.0,-1.0,1.0,-5.0,-7.0,12.0,3.0,0.0,1.0,0.5,2.0,2.0,0.4,0.2,106.4,22.0,17.4,7.8,5.2,38.2,85.8,19.2,24.4,20.2,22.8,9.2,48.2,9.2,39.0,10.8,32.0,102.1,6.6,-1.2,0.8,2.6,-2.6,1.4,-3.0,3.8,5.0,-2.6,2.6,1.2,-0.6,4.2,0.0,1.6,-0.2,0.4833333333333333,0.4,0.4,0.07999999999999999,0.039999999999999994,109.83333333333333,24.166666666666668,18.166666666666668,7.666666666666667,5.166666666666667,39.666666666666664,84.66666666666667,18.833333333333332,24.333333333333332,19.666666666666668,22.0,9.333333333333334,47.666666666666664,8.833333333333334,38.833333333333336,11.666666666666666,32.5,102.33333333333333,8.0,-0.8333333333333334,2.3333333333333335,2.5,-2.5,2.6666666666666665,-4.666666666666667,2.1666666666666665,3.8333333333333335,-2.3333333333333335,2.3333333333333335,0.16666666666666666,-1.6666666666666667,5.5,0.5,1.3333333333333333,0.0,0.4861111111111111,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.06666666666666667
6,76ers,Hornets,101,1964,22000094,1610612755,True,True,118,46,95,0.484,11,32,0.344,15,23,0.652,14,41,55,34,10,7,5,4,21,24,103.0,103.0,2020-21,2021-01-04,48,0,1610612766,7.0,2.0,0,6,1,0.8571428571428571,4,5,0.8,0.5,17.0,4.0,-7.0,1.0,-1.0,10.0,9.0,-1.0,1.0,-3.0,3.0,3.0,6.0,2.0,-2.0,-7.0,0.0,0.5714285714285714,2.0,3.0,0.4,0.3,109.2,24.6,18.2,7.6,5.4,39.4,84.2,18.0,23.2,18.6,21.2,9.0,47.8,8.6,39.2,12.4,33.4,101.3,8.4,0.2,3.2,2.2,-2.2,2.8,-6.0,1.2,3.2,-2.6,2.6,-0.6,-3.0,6.2,1.6,1.4,0.0,0.3833333333333333,0.8,0.8,0.16,0.08,111.0,25.571428571428573,17.0,7.285714285714286,5.0,40.57142857142857,86.14285714285714,18.285714285714285,24.142857142857142,19.857142857142858,22.285714285714285,9.0,48.714285714285715,9.571428571428571,39.142857142857146,11.571428571428571,32.42857142857143,102.42857142857143,9.285714285714286,-0.14285714285714285,1.0,2.2857142857142856,-2.2857142857142856,3.7142857142857144,-2.7142857142857144,1.7142857142857142,3.4285714285714284,-2.4285714285714284,2.4285714285714284,0.5714285714285714,-0.5714285714285714,5.0,0.14285714285714285,0.14285714285714285,0.0,0.49829931972789115,0.8571428571428571,1.0,0.17142857142857143,0.09999999999999999
7,76ers,Wizards,136,1936,22000109,1610612755,True,True,141,50,81,0.617,18,29,0.621,23,33,0.697,1,34,35,33,18,9,6,2,21,27,110.0,110.0,2020-21,2021-01-06,48,0,1610612764,8.0,2.0,0,7,1,0.875,4,6,0.8,0.6,5.0,6.0,5.0,4.0,-4.0,3.0,-13.0,-3.0,-2.0,-6.0,6.0,0.0,-8.0,8.0,2.0,-8.0,-1.0,0.625,2.0,4.0,0.4,0.39999999999999997,111.0,27.4,17.8,7.4,5.4,40.4,85.6,17.8,23.4,19.0,21.4,8.6,49.4,9.0,40.4,12.4,33.6,103.0,7.8,0.8,2.6,2.0,-2.0,3.0,-5.2,1.2,3.6,-2.4,2.4,-0.6,-1.6,5.6,0.6,-0.4,0.0,0.2976190476190476,1.0,1.2,0.2,0.12,114.75,26.5,17.125,7.125,4.625,41.75,85.5,18.875,25.25,20.0,22.875,9.0,47.0,8.5,38.5,12.375,32.0,103.375,8.75,0.625,1.5,2.5,-2.5,3.625,-4.0,1.125,2.75,-2.875,2.875,0.5,-1.5,5.375,0.375,-0.875,-0.125,0.5141369047619048,1.0,1.375,0.2,0.13749999999999998
8,76ers,Nets,122,1927,22000118,1610612755,False,False,109,41,87,0.471,9,26,0.346,18,20,0.9,4,43,47,23,20,6,6,7,25,17,110.0,110.0,2020-21,2021-01-07,48,0,1610612751,9.0,1.0,1,7,2,0.7777777777777778,5,7,1.0,0.7,-13.0,-7.0,7.0,-1.0,1.0,-3.0,-10.0,-1.0,-9.0,8.0,-8.0,-5.0,-7.0,6.0,-6.0,-11.0,-1.0,0.2222222222222222,3.0,3.0,0.6,0.29999999999999993,120.4,29.2,17.0,7.6,4.6,43.8,86.0,19.2,25.6,19.4,22.4,8.6,48.6,7.6,41.0,13.6,32.0,104.9,13.6,3.4,2.4,3.0,-3.0,6.6,-5.4,0.0,2.0,-3.0,3.0,0.2,-2.6,7.8,0.4,-4.8,-0.2,0.4892857142857143,1.4,2.0,0.28,0.2,114.11111111111111,26.11111111111111,17.444444444444443,7.0,4.888888888888889,41.666666666666664,85.66666666666667,18.77777777777778,24.666666666666668,20.555555555555557,22.22222222222222,8.666666666666666,47.0,8.0,39.0,12.0,31.333333333333332,104.11111111111111,6.333333333333333,-0.2222222222222222,2.111111111111111,2.111111111111111,-2.111111111111111,2.888888888888889,-4.666666666666667,0.8888888888888888,1.4444444444444444,-1.6666666666666667,1.6666666666666667,-0.1111111111111111,-2.111111111111111,5.444444444444445,-0.3333333333333333,-2.0,-0.2222222222222222,0.4817019400352734,1.2222222222222223,1.5555555555555556,0.24444444444444446,0.15555555555555556
9,76ers,Nuggets,115,1896,22000133,1610612755,True,False,103,43,103,0.417,11,35,0.314,6,10,0.6,20,28,48,23,17,8,4,7,19,12,98.0,98.0,2020-21,2021-01-09,48,0,1610612743,10.0,2.0,0,7,3,0.7,4,7,0.8,0.7,-12.0,-5.0,0.0,-3.0,3.0,-2.0,13.0,-7.0,-5.0,7.0,-7.0,-3.0,5.0,-2.0,-1.0,2.0,0.0,0.25555555555555554,2.0,4.0,0.4,0.39999999999999997,122.2,29.6,17.0,6.8,4.6,45.6,86.6,17.2,23.0,21.4,20.2,7.8,47.2,6.6,40.6,13.8,31.0,105.9,9.6,2.0,3.8,2.2,-2.2,6.0,-6.2,-3.4,-3.6,1.2,-1.2,-0.4,-3.8,7.4,1.0,-4.2,-0.2,0.38373015873015875,1.6,2.2,0.31999999999999995,0.21999999999999997,113.0,25.8,17.4,6.7,5.1,41.8,87.4,17.5,23.2,20.4,21.2,8.6,47.1,9.2,37.9,11.9,31.7,103.5,4.5,-0.7,1.9,1.6,-1.6,2.4,-2.9,0.1,0.8,-0.8,0.8,-0.4,-1.4,4.7,-0.4,-1.6,-0.2,0.4590873015873016,1.3,1.8,0.26,0.18
