team_name,opponent_name,opponent_pts,team_box_id,game_id,team_id,is_home,win,pts,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pace,poss,season_year,game_date,minutes_played,neutral_site,opponent_team_id,game_number,days_rest,is_back_to_back,total_wins,total_losses,win_percentage,wins_last_10,win_percentage_last_10,diff_pts,diff_ast,diff_tov,diff_blk,diff_blka,diff_fgm,diff_fga,diff_ftm,diff_fta,diff_pf,diff_pfd,diff_stl,diff_oreb,diff_dreb,diff_reb,diff_fg3m,diff_fg3a,diff_days_rest,diff_win_percentage,diff_wins_last_10,diff_win_percentage_last_10,pts_rolling_mean_prev_10,ast_rolling_mean_prev_10,tov_rolling_mean_prev_10,blk_rolling_mean_prev_10,blka_rolling_mean_prev_10,fgm_rolling_mean_prev_10,fga_rolling_mean_prev_10,ftm_rolling_mean_prev_10,fta_rolling_mean_prev_10,pf_rolling_mean_prev_10,pfd_rolling_mean_prev_10,stl_rolling_mean_prev_10,oreb_rolling_mean_prev_10,dreb_rolling_mean_prev_10,reb_rolling_mean_prev_10,fg3m_rolling_mean_prev_10,fg3a_rolling_mean_prev_10,win_percentage_rolling_mean_prev_10,wins_last_10_rolling_mean_prev_10,win_percentage_last_10_rolling_mean_prev_10,pace_rolling_mean_prev_10,diff_pts_rolling_mean_prev_10,diff_ast_rolling_mean_prev_10,diff_tov_rolling_mean_prev_10,diff_blk_rolling_mean_prev_10,diff_blka_rolling_mean_prev_10,diff_fgm_rolling_mean_prev_10,diff_fga_rolling_mean_prev_10,diff_ftm_rolling_mean_prev_10,diff_fta_rolling_mean_prev_10,diff_pf_rolling_mean_prev_10,diff_pfd_rolling_mean_prev_10,diff_stl_rolling_mean_prev_10,diff_oreb_rolling_mean_prev_10,diff_dreb_rolling_mean_prev_10,diff_reb_rolling_mean_prev_10,diff_fg3m_rolling_mean_prev_10,diff_fg3a_rolling_mean_prev_10,diff_days_rest_rolling_mean_prev_10,diff_win_percentage_rolling_mean_prev_10,diff_wins_last_10_rolling_mean_prev_10,diff_win_percentage_last_10_rolling_mean_prev_10,pts_average,ast_average,tov_average,blk_average,blka_average,fgm_average,fga_average,ftm_average,fta_average,pf_average,pfd_average,stl_average,oreb_average,dreb_average,reb_average,fg3m_average,fg3a_average,win_percentage_average,wins_last_10_average,win_percentage_last_10_average,pace_average,diff_pts_average,diff_ast_average,diff_tov_average,diff_blk_average,diff_blka_average,diff_fgm_average,diff_fga_average,diff_ftm_average,diff_fta_average,diff_pf_average,diff_pfd_average,diff_stl_average,diff_oreb_average,diff_dreb_average,diff_reb_average,diff_fg3m_average,diff_fg3a_average,diff_days_rest_average,diff_win_percentage_average,diff_wins_last_10_average,diff_win_percentage_last_10_average,diff_pace_rolling_mean_prev_10,diff_pace_average
76ers,Knicks,89,2103,22000025,1610612755,False,True,109,41,88,0.466,11,31,0.355,16,22,0.727,12,35,47,20,12,9,6,4,19,23,94.5,95.0,2020-21,2020-12-26,48,0,1610612752,2.0,3.0,0,2,0,1.0,1,1.0,20.0,1.0,-4.0,2.0,-2.0,9.0,5.0,-1.0,-1.0,-4.0,4.0,3.0,-1.0,5.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0,113,22,18,8,4,41,87,23,30,25,26,11,10,37,47,8,28,1,0,0,107,6,-6,-2,4,-4,2,2,7,7,-1,1,4,5,2,7,-5,1,0,1,-4,0,111.0,21.0,15.0,7.0,4.0,41.0,87.5,19.5,26.0,22.0,24.5,10.0,11.0,36.0,47.0,9.5,29.5,1.0,0.5,0.5,101.0,13.0,-2.5,-3.0,3.0,-3.0,5.5,3.5,3.0,3.0,-2.5,2.5,3.5,2.0,3.5,5.5,-1.0,1.5,0.0,1.0,-1.5,0.5,1.0,0.75
76ers,Cavaliers,118,2100,22000035,1610612755,False,False,94,33,79,0.418,12,37,0.324,16,22,0.727,8,31,39,24,22,9,5,6,19,22,100.5,100.0,2020-21,2020-12-27,48,0,1610612739,3.0,1.0,1,2,1,0.6666666666666666,2,1.0,-24.0,-7.0,6.0,-1.0,1.0,-15.0,-12.0,3.0,6.0,-3.0,3.0,-4.0,-3.0,-3.0,-6.0,3.0,14.0,0.0,-0.3333333333333333,0.0,0.0,111,21,15,7,4,41,87,19,26,22,24,10,11,36,47,9,29,1,0,0,101,13,-2,-3,3,-3,5,3,3,3,-2,2,3,2,3,5,-1,1,0,1,-1,0,105.33333333333331,22.0,17.333333333333332,6.333333333333333,4.666666666666667,38.333333333333336,84.66666666666667,18.333333333333332,24.666666666666668,21.0,23.666666666666668,9.666666666666666,10.0,34.333333333333336,44.333333333333336,10.333333333333334,32.0,0.8888888888888888,1.0,0.6666666666666666,100.83333333333331,0.6666666666666666,-4.0,0.0,1.6666666666666667,-1.6666666666666667,-1.3333333333333333,-1.6666666666666667,3.0,4.0,-2.6666666666666665,2.6666666666666665,1.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,5.666666666666667,0.0,0.5555555555555555,-1.0,0.3333333333333333,-1.0,-1.009999999999991
76ers,Raptors,93,2061,22000049,1610612755,True,True,100,32,84,0.381,8,31,0.258,28,33,0.848,9,45,54,21,20,10,10,7,15,28,105.0,106.0,2020-21,2020-12-29,48,0,1610612761,4.0,2.0,0,3,1,0.75,2,0.6666666666666666,7.0,0.0,0.0,3.0,-3.0,0.0,-6.0,16.0,19.0,-13.0,13.0,-2.0,-1.0,8.0,7.0,-9.0,-14.0,-1.0,0.75,2.0,0.6666666666666666,105,22,17,6,4,38,84,18,24,21,23,9,10,34,44,10,32,0,1,0,100,0,-4,0,1,-1,-1,-1,3,4,-2,2,1,0,1,1,0,5,0,0,-1,0,104.0,21.75,18.0,7.25,5.25,36.75,84.5,20.75,26.75,19.5,24.75,9.75,9.75,37.0,46.75,9.75,31.75,0.8541666666666666,1.25,0.6666666666666666,101.875,2.25,-3.0,0.0,2.0,-2.0,-1.0,-2.75,6.25,7.75,-5.25,5.25,0.25,0.0,3.0,3.0,-2.0,0.75,-0.25,0.6041666666666666,-0.25,0.4166666666666666,-4.0,-2.625
76ers,Magic,92,2028,22000064,1610612755,False,True,116,44,91,0.484,15,33,0.455,13,15,0.867,7,47,54,23,15,7,10,5,23,15,103.0,103.0,2020-21,2020-12-31,48,0,1610612753,5.0,2.0,0,4,1,0.8,3,0.75,24.0,6.0,4.0,5.0,-5.0,11.0,-4.0,-6.0,-6.0,8.0,-8.0,5.0,-3.0,9.0,6.0,8.0,5.0,0.0,0.0,-1.0,-0.25,104,21,18,7,5,36,84,20,26,19,24,9,9,37,46,9,31,0,1,0,101,2,-3,0,2,-2,-1,-2,6,7,-5,5,0,0,3,3,-2,0,0,0,0,0,106.4,22.0,17.4,7.8,5.2,38.2,85.8,19.2,24.4,20.2,22.8,9.2,9.2,39.0,48.2,10.8,32.0,0.8433333333333334,1.6,0.6833333333333333,102.1,6.6,-1.2,0.8,2.6,-2.6,1.4,-3.0,3.8,5.0,-2.6,2.6,1.2,-0.6,4.2,3.6,0.0,1.6,-0.2,0.4833333333333333,-0.4,0.2833333333333333,-4.0,-2.6000000000000085
76ers,Hornets,112,1995,22000082,1610612755,True,True,127,47,79,0.595,16,35,0.457,17,24,0.708,7,38,45,35,22,10,7,5,17,18,103.5,103.0,2020-21,2021-01-02,48,0,1610612766,6.0,2.0,0,5,1,0.8333333333333334,4,0.8,15.0,1.0,10.0,2.0,-2.0,9.0,-13.0,-6.0,-2.0,-1.0,1.0,-5.0,-7.0,12.0,5.0,3.0,0.0,1.0,0.5,2.0,0.4,106,22,17,7,5,38,85,19,24,20,22,9,9,39,48,10,32,0,1,0,102,6,-1,0,2,-2,1,-3,3,5,-2,2,1,0,4,3,0,1,0,0,0,0,109.83333333333331,24.166666666666668,18.166666666666668,7.666666666666667,5.166666666666667,39.666666666666664,84.66666666666667,18.833333333333332,24.333333333333332,19.666666666666668,22.0,9.333333333333334,8.833333333333334,38.833333333333336,47.666666666666664,11.666666666666666,32.5,0.8416666666666667,2.0,0.7027777777777778,102.33333333333331,8.0,-0.8333333333333334,2.3333333333333335,2.5,-2.5,2.6666666666666665,-4.666666666666667,2.1666666666666665,3.8333333333333335,-2.3333333333333335,2.3333333333333335,0.1666666666666666,-1.6666666666666667,5.5,3.8333333333333335,0.5,1.3333333333333333,0.0,0.4861111111111111,0.0,0.3027777777777777,0.0,-0.5
76ers,Hornets,101,1964,22000094,1610612755,True,True,118,46,95,0.484,11,32,0.344,15,23,0.652,14,41,55,34,10,7,5,4,21,24,103.0,103.0,2020-21,2021-01-04,48,0,1610612766,7.0,2.0,0,6,1,0.8571428571428571,5,0.8333333333333334,17.0,4.0,-7.0,1.0,-1.0,10.0,9.0,-1.0,1.0,-3.0,3.0,3.0,6.0,2.0,8.0,-2.0,-7.0,0.0,0.5714285714285714,3.0,0.5,109,24,18,7,5,39,84,18,24,19,22,9,8,38,47,11,32,0,2,0,102,8,0,2,2,-2,2,-4,2,3,-2,2,0,-1,5,3,0,1,0,0,0,0,111.0,25.571428571428573,17.0,7.285714285714286,5.0,40.57142857142857,86.14285714285714,18.285714285714285,24.142857142857142,19.857142857142858,22.285714285714285,9.0,9.571428571428571,39.142857142857146,48.714285714285715,11.571428571428571,32.42857142857143,0.8438775510204082,2.4285714285714284,0.7214285714285714,102.42857142857144,9.285714285714286,-0.1428571428571428,1.0,2.2857142857142856,-2.2857142857142856,3.7142857142857144,-2.7142857142857144,1.7142857142857142,3.4285714285714284,-2.4285714285714284,2.4285714285714284,0.5714285714285714,-0.5714285714285714,5.0,4.428571428571429,0.1428571428571428,0.1428571428571428,0.0,0.4982993197278911,0.4285714285714285,0.3309523809523809,0.0,-0.4285714285714306
76ers,Wizards,136,1936,22000109,1610612755,True,True,141,50,81,0.617,18,29,0.621,23,33,0.697,1,34,35,33,18,9,6,2,21,27,110.0,110.0,2020-21,2021-01-06,48,0,1610612764,8.0,2.0,0,7,1,0.875,6,0.8571428571428571,5.0,6.0,5.0,4.0,-4.0,3.0,-13.0,-3.0,-2.0,-6.0,6.0,0.0,-8.0,8.0,0.0,2.0,-8.0,-1.0,0.625,4.0,0.5714285714285714,111,25,17,7,5,40,86,18,24,19,22,9,9,39,48,11,32,0,2,0,102,9,0,1,2,-2,3,-2,1,3,-2,2,0,0,5,4,0,0,0,0,0,0,114.75,26.5,17.125,7.125,4.625,41.75,85.5,18.875,25.25,20.0,22.875,9.0,8.5,38.5,47.0,12.375,32.0,0.8477678571428572,2.875,0.7383928571428572,103.375,8.75,0.625,1.5,2.5,-2.5,3.625,-4.0,1.125,2.75,-2.875,2.875,0.5,-1.5,5.375,3.875,0.375,-0.875,-0.125,0.5141369047619048,0.875,0.3610119047619047,-4.0,-3.3125
76ers,Nets,122,1927,22000118,1610612755,False,False,109,41,87,0.471,9,26,0.346,18,20,0.9,4,43,47,23,20,6,6,7,25,17,110.0,110.0,2020-21,2021-01-07,48,0,1610612751,9.0,1.0,1,7,2,0.7777777777777778,7,0.875,-13.0,-7.0,7.0,-1.0,1.0,-3.0,-10.0,-1.0,-9.0,8.0,-8.0,-5.0,-7.0,6.0,-1.0,-6.0,-11.0,-1.0,0.2222222222222222,3.0,0.375,114,26,17,7,4,41,85,18,25,20,22,9,8,38,47,12,32,0,2,0,103,8,0,1,2,-2,3,-4,1,2,-2,2,0,-1,5,3,0,0,0,0,0,0,114.11111111111111,26.11111111111111,17.444444444444443,7.0,4.888888888888889,41.666666666666664,85.66666666666667,18.77777777777778,24.666666666666668,20.555555555555557,22.22222222222222,8.666666666666666,8.0,39.0,47.0,12.0,31.333333333333332,0.8399911816578484,3.3333333333333335,0.7535714285714286,104.11111111111111,6.333333333333333,-0.2222222222222222,2.111111111111111,2.111111111111111,-2.111111111111111,2.888888888888889,-4.666666666666667,0.8888888888888888,1.4444444444444444,-1.6666666666666667,1.6666666666666667,-0.1111111111111111,-2.111111111111111,5.444444444444445,3.3333333333333335,-0.3333333333333333,-2.0,-0.2222222222222222,0.4817019400352734,1.1111111111111112,0.3625661375661375,0.0,-0.5088888888888903
76ers,Nuggets,115,1896,22000133,1610612755,True,False,103,43,103,0.417,11,35,0.314,6,10,0.6,20,28,48,23,17,8,4,7,19,12,98.0,98.0,2020-21,2021-01-09,48,0,1610612743,10.0,2.0,0,7,3,0.7,7,0.7777777777777778,-12.0,-5.0,0.0,-3.0,3.0,-2.0,13.0,-7.0,-5.0,7.0,-7.0,-3.0,5.0,-2.0,3.0,-1.0,2.0,0.0,0.2555555555555555,4.0,0.4027777777777778,114,26,17,7,4,41,85,18,24,20,22,8,8,39,47,12,31,0,3,0,104,6,0,2,2,-2,2,-4,0,1,-1,1,0,-2,5,3,0,-2,0,0,1,0,113.0,25.8,17.4,6.7,5.1,41.8,87.4,17.5,23.2,20.4,21.2,8.6,9.2,37.9,47.1,11.9,31.7,0.8259920634920634,3.7,0.7559920634920635,103.5,4.5,-0.7,1.9,1.6,-1.6,2.4,-2.9,0.1,0.8,-0.8,0.8,-0.4,-1.4,4.7,3.3,-0.4,-1.6,-0.2,0.4590873015873016,1.4,0.3665873015873016,5.0,4.301111111111112
76ers,Hawks,112,1865,22000153,1610612755,False,False,94,37,92,0.402,8,36,0.222,12,13,0.923,9,41,50,20,9,2,12,3,17,13,100.0,99.0,2020-21,2021-01-11,48,0,1610612737,11.0,2.0,0,7,4,0.6363636363636364,7,0.7,-18.0,0.0,1.0,9.0,-9.0,0.0,-7.0,-9.0,-14.0,4.0,-4.0,-5.0,-5.0,-3.0,-8.0,-9.0,-8.0,0.0,0.1363636363636363,3.0,0.2555555555555555,113,25,17,6,5,41,87,17,23,20,21,8,9,37,47,11,31,0,3,0,103,4,0,1,1,-1,2,-2,0,0,0,0,0,-1,4,3,0,-1,0,0,1,0,111.27272727272728,25.272727272727273,16.636363636363637,7.181818181818182,4.909090909090909,41.36363636363637,87.81818181818181,17.0,22.272727272727273,20.09090909090909,20.454545454545453,8.0,9.181818181818182,38.18181818181818,47.36363636363637,11.545454545454543,32.09090909090909,0.8087531155712974,4.0,0.7509018759018758,103.1818181818182,2.4545454545454546,-0.6363636363636364,1.818181818181818,2.272727272727273,-2.272727272727273,2.1818181818181817,-3.272727272727273,-0.7272727272727273,-0.5454545454545454,-0.3636363636363636,0.3636363636363636,-0.8181818181818182,-1.7272727272727273,4.0,2.272727272727273,-1.181818181818182,-2.1818181818181817,-0.1818181818181818,0.4297487865669683,1.5454545454545454,0.3564935064935065,2.0,1.831818181818193
